# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jul 22 11:47:38 2023
#
# User ID:         asafka7a
#
# User preference: archive defaults*
#
# CONSTRAINT:  where (sy_snum = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr < 50)
# CONSTRAINT:  order by pl_name desc
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
TOI-836 c,1,0,0.075000,0.001600,-0.001600,0,0.68,0.05,-0.04,0,5.400,6.300,-5.000,0,27.5024000,0.0294000,-0.0293000
TOI-836 b,1,0,0.042200,0.000930,-0.000930,0,0.68,0.05,-0.04,0,5.400,6.300,-5.000,0,27.5024000,0.0294000,-0.0293000
TOI-776 c,1,0,0.100000,0.002400,-0.002400,0,0.54,0.03,-0.03,0,7.800,3.900,-6.300,0,27.1701000,0.0320500,-0.0320500
TOI-776 b,1,0,0.065200,0.001500,-0.001500,0,0.54,0.03,-0.03,0,7.800,3.900,-6.300,0,27.1701000,0.0320500,-0.0320500
TOI-715 b,1,0,0.083000,0.002700,-0.002700,0,0.23,0.01,-0.01,0,6.200,3.200,-2.200,0,42.4048000,0.0857000,-0.0854000
TOI-700 e,1,0,0.134000,0.002200,-0.002200,0,0.42,0.02,-0.02,0,1.500,,,-1,31.1265000,0.0206000,-0.0206000
TOI-700 d,1,0,0.163300,0.002700,-0.002700,0,0.42,0.02,-0.02,0,1.500,,,-1,31.1265000,0.0206000,-0.0206000
TOI-700 c,1,0,0.092900,0.001500,-0.001500,0,0.42,0.02,-0.02,0,1.500,,,-1,31.1265000,0.0206000,-0.0206000
TOI-700 b,1,0,0.067700,0.001100,-0.001100,0,0.42,0.02,-0.02,0,1.500,,,-1,31.1265000,0.0206000,-0.0206000
TOI-620 b,1,0,0.048250,0.000650,-0.000660,0,0.58,0.02,-0.02,0,7.200,4.600,-4.700,0,33.0231000,0.0586000,-0.0583000
TOI-540 b,1,0,0.012230,0.000360,-0.000360,0,0.16,0.01,-0.01,0,1.100,0.900,-1.000,0,14.0022000,0.0088000,-0.0089000
TOI-500 b,1,0,0.011890,0.000410,-0.000400,0,0.74,0.02,-0.02,0,5.000,0.200,-0.200,0,47.3924000,0.0473000,-0.0473000
TOI-244 b,1,0,0.055900,0.001300,-0.001300,0,0.43,0.03,-0.03,0,7.000,4.000,-4.000,0,22.0337000,0.0334000,-0.0333000
TOI-237 b,1,0,0.034100,0.001000,-0.001000,0,0.18,0.00,0.00,0,4.500,,,-1,38.0749000,0.2292000,-0.2265000
TOI-2136 b,1,0,0.057000,0.006000,-0.006000,0,0.34,0.02,-0.02,0,4.600,1.000,-1.000,0,33.3631000,0.0642500,-0.0642500
TOI-2096 c,1,0,0.040000,0.002000,-0.002000,0,0.23,0.01,-0.01,0,4.000,,,-1,48.4809000,0.0982000,-0.0978000
TOI-2096 b,1,0,0.025000,0.001000,-0.001000,0,0.23,0.01,-0.01,0,4.000,,,-1,48.4809000,0.0982000,-0.0978000
TOI-2076 d,1,0,0.153900,0.002900,-0.002900,0,0.85,0.03,-0.03,0,0.204,0.053,-0.050,0,41.9091000,0.0528000,-0.0526000
TOI-2076 c,1,0,0.109300,0.002100,-0.002100,0,0.85,0.03,-0.03,0,0.204,0.053,-0.050,0,41.9091000,0.0528000,-0.0526000
TOI-2076 b,1,0,0.068200,0.001300,-0.001300,0,0.85,0.03,-0.03,0,0.204,0.053,-0.050,0,41.9091000,0.0528000,-0.0526000
TOI-1860 b,1,0,0.020400,0.000200,-0.000200,0,0.99,0.03,-0.03,0,0.133,0.026,-0.026,0,45.8640000,0.0648000,-0.0645000
TOI-1807 b,1,0,0.008120,0.000370,-0.000380,0,0.75,0.03,-0.02,0,0.180,0.040,-0.038,0,42.5775000,0.0622000,-0.0620000
TOI-1759 b,1,0,0.117700,0.003800,-0.003800,0,0.61,0.02,-0.02,0,5.000,3.000,-4.000,0,40.0654000,0.0423000,-0.0423000
TOI-1685 b,1,0,0.011557,0.000092,-0.000092,0,0.46,0.01,-0.01,0,1.300,0.700,-0.700,0,37.6153000,0.0728000,-0.0725000
TOI-1266 c,1,0,0.105800,0.002300,-0.002400,0,0.45,0.03,-0.03,0,7.900,4.200,-5.200,0,36.0118000,0.0295000,-0.0295000
TOI-1266 b,1,0,0.073600,0.001600,-0.001700,0,0.45,0.03,-0.03,0,7.900,4.200,-5.200,0,36.0118000,0.0295000,-0.0295000
TOI-1235 b,1,0,0.038450,0.000370,-0.000400,0,0.64,0.02,-0.02,0,5.300,4.700,-4.700,0,39.6345000,0.0478000,-0.0478000
Ross 128 b,1,0,0.049600,0.001700,-0.001700,0,0.17,0.02,-0.02,0,5.000,,,-1,3.3745400,0.0008050,-0.0008050
PZ Tel b,1,0,27.000000,14.000000,-4.000000,0,1.36,0.15,-0.13,0,0.200,,,1,47.0648000,0.1347000,-0.1338000
LSPM J2116+0234 b,1,0,0.087600,0.002200,-0.002100,0,0.43,0.03,-0.03,0,2.000,,,0,17.6297000,0.0186500,-0.0186500
LP 890-9 c,1,0,0.039840,0.000220,-0.000220,0,0.12,0.00,0.00,0,7.200,2.200,-3.100,0,32.4298000,0.0702000,-0.0699000
LP 890-9 b,1,0,0.018750,0.000100,-0.000100,0,0.12,0.00,0.00,0,7.200,2.200,-3.100,0,32.4298000,0.0702000,-0.0699000
LP 791-18 d,1,0,0.019920,0.000240,-0.000240,0,0.14,0.01,-0.01,0,0.500,,,-1,26.4927000,0.0640000,-0.0638000
LP 791-18 c,1,0,0.029610,0.000350,-0.000360,0,0.14,0.01,-0.01,0,0.500,,,-1,26.4927000,0.0640000,-0.0638000
LP 791-18 b,1,0,0.009780,0.000120,-0.000120,0,0.14,0.01,-0.01,0,0.500,,,-1,26.4927000,0.0640000,-0.0638000
LHS 1140 c,1,0,0.027340,0.000540,-0.000540,0,0.19,0.01,-0.01,0,5.000,,,-1,14.9861000,0.0153000,-0.0152000
LHS 1140 b,1,0,0.095700,0.001900,-0.001900,0,0.19,0.01,-0.01,0,5.000,,,-1,14.9861000,0.0153000,-0.0152000
L 98-59 e,1,0,0.071700,0.006000,-0.004800,0,0.31,0.01,-0.01,0,0.800,,,-1,10.6194000,0.0032000,-0.0032000
L 98-59 d,1,0,0.050600,0.000200,-0.000200,0,0.31,0.01,-0.01,0,0.800,,,-1,10.6194000,0.0032000,-0.0032000
L 98-59 c,1,0,0.031700,0.000100,-0.000100,0,0.31,0.01,-0.01,0,0.800,,,-1,10.6194000,0.0032000,-0.0032000
L 98-59 b,1,0,0.021910,0.000800,-0.000840,0,0.31,0.01,-0.01,0,0.800,,,-1,10.6194000,0.0032000,-0.0032000
L 363-38 b,1,0,0.048000,0.006000,-0.006000,0,0.21,0.01,-0.01,0,8.070,4.120,-4.120,0,10.2295000,0.0086000,-0.0086000
Kepler-42 d,1,0,0.015400,,,0,0.13,0.05,-0.05,0,4.500,0.500,-1.000,-1,40.0595000,0.0650000,-0.0647000
Kepler-42 c,1,0,0.006000,,,0,0.13,0.05,-0.05,0,4.500,0.500,-1.000,-1,40.0595000,0.0650000,-0.0647000
Kepler-42 b,1,0,0.011600,,,0,0.13,0.05,-0.05,0,4.500,0.500,-1.000,-1,40.0595000,0.0650000,-0.0647000
K2-3 d,1,0,0.201400,0.003400,-0.003300,0,0.55,0.03,-0.03,0,6.900,4.700,-4.700,0,44.0727000,0.1081500,-0.1081500
K2-3 c,1,0,0.135700,0.002300,-0.002200,0,0.55,0.03,-0.03,0,6.900,4.700,-4.700,0,44.0727000,0.1081500,-0.1081500
K2-3 b,1,0,0.074700,0.001300,-0.001200,0,0.55,0.03,-0.03,0,6.900,4.700,-4.700,0,44.0727000,0.1081500,-0.1081500
K2-25 b,1,0,0.028700,0.001200,-0.001200,0,0.26,0.01,-0.01,0,0.730,0.050,-0.052,0,44.9565000,0.1664000,-0.1653000
HR 8799 e,1,0,16.400000,2.100000,-1.100000,0,1.51,0.04,-0.02,0,0.030,,,0,41.2441000,0.1515000,-0.1505000
HR 8799 d,1,0,24.000000,,,0,1.50,0.30,-0.30,0,0.060,0.100,-0.030,0,41.2441000,0.1515000,-0.1505000
HR 8799 c,1,0,38.000000,,,0,1.50,0.30,-0.30,0,0.060,0.100,-0.030,0,41.2441000,0.1515000,-0.1505000
HR 8799 b,1,0,68.000000,,,0,1.50,0.30,-0.30,0,0.060,0.100,-0.030,0,41.2441000,0.1515000,-0.1505000
HR 810 b,1,0,0.920000,0.020000,-0.020000,0,1.34,0.13,-0.13,0,2.720,,,0,17.3181000,0.0162000,-0.0162000
HR 2562 b,1,0,20.300000,0.300000,-0.300000,0,1.30,,,0,0.600,0.300,-0.300,0,34.0071000,0.0480000,-0.0478000
HN Peg b,1,0,773.000000,13.000000,-13.000000,0,1.08,0.14,-0.14,0,0.300,0.200,-0.200,0,18.1186000,0.0201000,-0.0201000
HIP 99770 b,1,0,16.900000,3.400000,-1.900000,0,1.85,0.19,-0.19,0,0.264,0.149,-0.150,0,40.0765000,0.2847000,-0.2807000
HIP 91258 b,1,0,0.060000,0.000000,0.000000,0,0.97,0.28,-0.28,0,2.400,2.400,-2.400,0,45.8846000,0.0661000,-0.0660000
HIP 57274 d,1,0,1.010000,,,0,0.73,0.05,-0.05,0,7.870,5.000,-5.000,0,25.8618000,0.0337000,-0.0335000
HIP 57274 c,1,0,0.178000,,,0,0.73,0.05,-0.05,0,7.870,5.000,-5.000,0,25.8618000,0.0337000,-0.0335000
HIP 57274 b,1,0,0.070000,0.000000,0.000000,0,0.29,0.30,-0.30,0,7.870,5.000,-5.000,0,25.8618000,0.0337000,-0.0335000
HIP 54597 b,1,0,3.810000,0.020000,-0.020000,0,0.69,0.02,-0.02,0,6.900,4.500,-4.500,0,39.7429000,0.0664000,-0.0663000
HD 98649 b,1,0,6.297000,0.338000,-0.336000,0,1.02,0.12,-0.12,0,4.440,0.680,-0.580,0,42.1727000,0.0878000,-0.0875000
HD 97658 b,1,0,0.080500,0.001000,-0.001100,0,0.85,0.08,-0.08,0,3.900,2.600,-2.030,0,21.5618000,0.0254000,-0.0253000
HD 96700 d,1,0,0.424000,0.007000,-0.007000,0,0.89,0.01,-0.01,0,8.600,0.700,-0.700,0,25.4111000,0.0284000,-0.0283000
HD 96700 c,1,0,0.141000,0.002000,-0.002000,0,0.89,0.01,-0.01,0,8.600,0.700,-0.700,0,25.4111000,0.0284000,-0.0283000
HD 96700 b,1,0,0.077700,0.001300,-0.001300,0,0.89,0.01,-0.01,0,8.600,0.700,-0.700,0,25.4111000,0.0284000,-0.0283000
HD 95735 c,1,0,2.940000,0.140000,-0.120000,0,0.39,0.01,-0.01,0,8.047,3.958,-4.523,0,5.6757730,0.0059099,-0.0059099
HD 95338 b,1,0,0.262000,0.002000,-0.002000,0,0.83,0.02,-0.02,0,5.080,2.510,-2.510,0,36.9941000,0.0689000,-0.0687000
HD 93385 d,1,0,0.256500,0.004300,-0.004300,0,1.04,0.01,-0.01,0,3.300,1.300,-1.300,0,43.3475000,0.0649000,-0.0648000
HD 93385 c,1,0,0.112000,0.002000,-0.002000,0,1.04,0.01,-0.01,0,3.300,1.300,-1.300,0,43.3475000,0.0649000,-0.0648000
HD 93385 b,1,0,0.075600,0.001300,-0.001300,0,1.04,0.01,-0.01,0,3.300,1.300,-1.300,0,43.3475000,0.0649000,-0.0648000
HD 93083 b,1,0,0.477000,,,0,0.70,0.04,-0.04,0,1.000,10.000,-1.000,1,28.5159000,0.0397000,-0.0397000
HD 92788 c,1,0,10.500000,2.900000,-0.550000,0,1.15,0.07,-0.07,0,2.550,1.510,-1.510,0,34.6538000,0.0597000,-0.0596000
HD 92788 b,1,0,0.970000,0.020000,-0.020000,0,1.15,0.07,-0.07,0,2.550,1.510,-1.510,0,34.6538000,0.0597000,-0.0596000
HD 90156 b,1,0,0.250000,0.004000,-0.004000,0,0.84,,,0,4.400,,,0,21.9496000,0.0170000,-0.0169000
HD 89307 b,1,0,3.270000,0.070000,-0.070000,0,1.27,0.12,-0.12,0,2.310,0.150,-0.150,0,32.0104000,0.0528000,-0.0526000
HD 87883 b,1,0,4.055000,0.147000,-0.161000,0,0.81,0.09,-0.09,0,7.600,2.800,-1.800,0,18.2912000,0.0125000,-0.0124000
HD 86226 c,1,0,0.049000,0.001000,-0.001000,0,1.02,0.06,-0.07,0,4.600,3.700,-2.700,0,45.6830000,0.1053000,-0.1048000
HD 86226 b,1,0,2.730000,0.060000,-0.060000,0,1.02,0.06,-0.07,0,4.600,3.700,-2.700,0,45.6830000,0.1053000,-0.1048000
HD 8574 b,1,0,0.760000,0.010000,-0.010000,0,1.34,0.12,-0.12,0,5.600,0.640,-1.360,0,44.8264000,0.0940000,-0.0936000
HD 85512 b,1,0,0.260000,0.000000,0.000000,0,0.43,0.10,-0.10,0,5.610,0.610,-0.610,0,11.2810000,0.0052000,-0.0052000
HD 85390 b,1,0,1.373000,0.035000,-0.035000,0,0.76,,,0,7.200,,,0,33.5225000,0.0430000,-0.0429000
HD 83443 c,1,0,8.000000,0.800000,-0.800000,0,1.00,0.03,-0.03,0,2.640,2.490,-2.490,0,40.8991000,0.0628000,-0.0626000
HD 83443 b,1,0,0.040600,0.000400,-0.000400,0,1.00,0.03,-0.03,0,2.640,2.490,-2.490,0,40.8991000,0.0628000,-0.0626000
HD 82943 c,1,0,0.743450,0.000120,-0.000120,0,1.08,0.12,-0.15,0,2.350,0.330,-0.330,0,27.5902000,0.0291000,-0.0290000
HD 82943 b,1,0,1.183060,0.000620,-0.000620,0,1.08,0.12,-0.15,0,2.350,0.330,-0.330,0,27.5902000,0.0291000,-0.0290000
HD 81040 b,1,0,1.988000,0.076000,-0.081000,0,1.03,0.12,-0.12,0,0.730,0.100,-0.100,0,34.4341000,0.0777000,-0.0773000
HD 7924 d,1,0,0.155100,0.001800,-0.001900,0,0.83,0.02,-0.04,0,0.880,,,0,16.9922000,0.0072000,-0.0072000
HD 7924 c,1,0,0.113400,0.001300,-0.001400,0,0.83,0.02,-0.04,0,0.880,,,0,16.9922000,0.0072000,-0.0072000
HD 7924 b,1,0,0.060000,0.000000,0.000000,0,0.65,0.05,-0.05,0,0.880,,,0,16.9922000,0.0072000,-0.0072000
HD 73583 c,1,0,0.124200,0.005500,-0.005400,0,0.73,0.02,-0.02,0,0.480,0.190,-0.190,0,31.5666000,0.0321000,-0.0320000
HD 73583 b,1,0,0.060400,0.002700,-0.002600,0,0.73,0.02,-0.02,0,0.480,0.190,-0.190,0,31.5666000,0.0321000,-0.0320000
HD 7199 b,1,0,1.360000,0.020000,-0.020000,0,0.77,0.09,-0.09,0,6.790,0.780,-0.780,0,36.1531000,0.0364000,-0.0364000
HD 70642 b,1,0,3.318000,0.022000,-0.021000,0,1.08,0.02,-0.02,0,0.919,0.733,-0.733,0,29.2760000,0.0276000,-0.0275000
HD 69830 d,1,0,0.630000,,,0,0.86,0.03,-0.03,0,7.000,3.000,-3.000,0,12.5591000,0.0097000,-0.0096000
HD 69830 c,1,0,0.186000,,,0,0.86,0.03,-0.03,0,7.000,3.000,-3.000,0,12.5591000,0.0097000,-0.0096000
HD 69830 b,1,0,0.078500,,,0,0.86,0.03,-0.03,0,7.000,3.000,-3.000,0,12.5591000,0.0097000,-0.0096000
HD 6434 b,1,0,0.140000,0.000000,0.000000,0,1.10,0.13,-0.13,0,11.270,2.120,-2.120,0,42.3580000,0.0756000,-0.0752000
HD 63765 b,1,0,0.940000,0.020000,-0.020000,0,0.65,0.01,-0.01,0,4.770,4.070,-4.070,0,32.5376000,0.0328000,-0.0328000
HD 63454 b,1,0,0.040000,0.000000,0.000000,0,0.42,0.03,-0.03,0,1.000,,,0,37.6894000,0.0280000,-0.0280000
HD 63433 c,1,0,0.145800,0.006200,-0.010100,0,0.99,0.03,-0.03,0,0.414,0.023,-0.023,0,22.4035000,0.0225000,-0.0225000
HD 63433 b,1,0,0.071900,0.003100,-0.004400,0,0.99,0.03,-0.03,0,0.414,0.023,-0.023,0,22.4035000,0.0225000,-0.0225000
HD 62509 b,1,0,1.640000,0.270000,-0.270000,0,2.00,0.10,0.00,0,0.980,0.130,-0.130,0,10.3400000,0.0900000,-0.0900000
HD 60532 c,1,0,1.600000,0.040000,-0.040000,0,1.50,0.09,-0.09,0,2.800,0.100,-0.600,0,25.9716000,0.1577000,-0.1558000
HD 60532 b,1,0,0.770000,0.020000,-0.020000,0,1.50,0.09,-0.09,0,2.800,0.100,-0.600,0,25.9716000,0.1577000,-0.1558000
HD 52265 b,1,0,0.520000,0.009000,-0.009000,0,1.20,,,0,3.500,,,0,29.9803000,0.0424000,-0.0423000
HD 50554 b,1,0,2.353000,0.045200,-0.045200,0,1.04,0.01,-0.01,0,2.160,0.290,-0.290,0,31.1664000,0.0556000,-0.0554000
HD 50499 c,1,0,9.020000,1.730000,-0.330000,0,1.31,0.07,-0.07,0,2.400,0.560,-0.560,0,46.2845000,0.0557000,-0.0555000
HD 50499 b,1,0,3.833000,0.030500,-0.030000,0,1.25,0.02,-0.02,0,2.391,0.633,-0.633,0,46.2845000,0.0557000,-0.0555000
HD 49674 b,1,0,0.060000,0.000000,0.000000,0,1.03,0.11,-0.11,0,3.620,,,0,43.0399000,0.0769000,-0.0766000
HD 47186 c,1,0,2.395000,,,0,0.96,0.05,-0.05,0,6.500,3.500,-2.000,0,37.4574000,0.0463000,-0.0461000
HD 47186 b,1,0,0.050000,0.000000,0.000000,0,0.96,0.05,-0.05,0,6.500,3.500,-2.000,0,37.4574000,0.0463000,-0.0461000
HD 45652 b,1,0,0.237000,0.011000,-0.011000,0,0.92,0.13,-0.13,0,8.400,3.240,-3.240,0,34.8541000,0.0676000,-0.0673000
HD 45350 b,1,0,1.920000,0.070000,-0.070000,0,0.98,0.11,-0.16,0,8.000,2.000,-2.000,0,46.8733000,0.1680000,-0.1668000
HD 45184 c,1,0,0.110000,0.003400,-0.003600,0,1.03,,,0,6.800,1.600,-1.640,0,21.9532000,0.0156000,-0.0155000
HD 45184 b,1,0,0.064400,0.002000,-0.002100,0,1.03,,,0,6.800,1.600,-1.640,0,21.9532000,0.0156000,-0.0155000
HD 4308 b,1,0,0.120000,0.000000,0.000000,0,0.93,0.10,-0.10,0,4.300,,,0,22.0158000,0.0107000,-0.0107000
HD 42618 b,1,0,0.554000,0.011000,-0.011000,0,1.01,0.06,-0.06,0,3.720,2.800,-2.840,0,24.3358000,0.0249000,-0.0247000
HD 4208 b,1,0,1.662000,0.015000,-0.015000,0,0.88,0.02,-0.02,0,3.813,2.970,-2.970,0,34.1937000,0.0681000,-0.0678000
HD 42012 b,1,0,1.670000,0.050000,-0.060000,0,0.83,0.08,-0.08,0,4.100,3.600,-3.600,0,36.7984000,0.0932000,-0.0927000
HD 40307 f,1,0,0.247000,0.011000,-0.014000,0,0.77,0.05,-0.05,0,4.500,,,0,12.9363000,0.0047000,-0.0046000
