# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 19 03:41:26 2023
#
# User ID:         asafka7a
#
# User preference: third*
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radjstr not null
# CONSTRAINT:  and pl_bmassjstr not null
# CONSTRAINT:  and pl_densstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
47 UMa b,0,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,1.180,,,0,2.53000,0.07000,-0.06000,0,Msini,1.920000,,,0,0.032000,0.014000,-0.014000,0,G0 V,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,6.480,1.440,-1.040,0,13.7967000,0.0289000,-0.0289000
47 UMa c,0,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,1.270,,,0,0.54000,0.06600,-0.07300,0,Msini,0.329000,,,0,0.098000,0.047000,-0.096000,0,G1 V,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,6.480,1.440,-1.040,0,13.7967000,0.0289000,-0.0289000
47 UMa d,0,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,1.200,,,0,1.64000,0.29000,-0.48000,0,Msini,1.160000,,,0,0.160000,0.090000,-0.160000,0,G0V,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,6.480,1.440,-1.040,0,13.7967000,0.0289000,-0.0289000
51 Eri b,0,11688.00000000,6209.25000000,-3287.25000000,0,13.200000,0.200000,-0.200000,0,1.190,,,0,2.00000,,,0,Mass,1.450000,,,0,0.450000,0.100000,-0.150000,0,F0 IV,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0,0.020,0.006,-0.006,0,29.7575000,0.1213000,-0.1203000
51 Peg b,0,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,1.270,,,0,0.46000,0.06000,-0.01000,0,Mass,0.275000,,,0,0.013000,0.012000,-0.012000,0,G5V,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,10.000,,,0,15.4614000,0.0297000,-0.0297000
55 Cnc b,0,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,1.240,,,0,0.83060,0.00330,-0.00330,0,Mass,0.540000,,,0,0.000000,0.010000,-0.010000,0,K0 IV-V,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,5.500,2.500,-2.500,0,12.5855000,0.0124000,-0.0123000
55 Cnc c,0,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,0.760,,,0,0.17140,0.00550,-0.00550,0,Mass,0.486000,,,0,0.030000,0.020000,-0.020000,0,G8V,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,10.200,2.500,-2.500,0,12.5855000,0.0124000,-0.0123000
55 Cnc d,0,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,1.160,,,0,3.87800,0.06800,-0.06800,0,Mass,3.080000,,,0,0.130000,0.020000,-0.020000,0,G8 V,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,5.500,2.500,-2.500,0,12.5855000,0.0124000,-0.0123000
55 Cnc e,0,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,0.167,0.003,-0.003,0,0.02514,0.00101,-0.00104,0,Mass,6.660000,0.430000,-0.400000,0,0.050000,0.030000,-0.030000,0,G8 V,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,10.200,2.500,-2.500,0,12.5855000,0.0124000,-0.0123000
55 Cnc f,0,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,0.677,,,0,0.14100,0.01200,-0.01200,0,Mass,0.563000,,,0,0.080000,0.050000,-0.040000,0,G8V,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,10.200,2.500,-2.500,0,12.5855000,0.0124000,-0.0123000
6 Lyn b,0,919.86000000,1.92000000,-3.71000000,0,2.028000,0.003000,-0.005000,0,1.200,,,0,1.88100,0.03800,-0.08900,0,Msini,1.370000,,,0,0.042000,0.024000,-0.032000,0,K0 IV,4.94,0.55,-0.50,0,1.32,0.20,-0.21,0,2.353,0.211,-0.211,0,54.6599000,0.2734000,-0.2734000
61 Vir b,0,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.188,,,0,0.01600,0.00200,-0.00200,0,Msini,2.980000,,,0,0.120000,0.110000,-0.110000,0,G5 V,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
61 Vir c,0,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.398,,,0,0.05700,0.00300,-0.00300,0,Msini,1.130000,,,0,0.140000,0.060000,-0.060000,0,G5 V,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
61 Vir d,0,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.456,,,0,0.07200,0.00800,-0.00800,0,Msini,0.943000,,,0,0.350000,0.090000,-0.090000,0,G5 V,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
7 CMa b,0,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,1.200,,,0,1.85000,0.06000,-0.06000,0,Msin(i)/sin(i),1.340000,,,0,0.060000,0.030000,-0.030000,0,K1 III,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,4.300,0.900,-1.300,0,19.8101000,0.1648000,-0.1648000
7 CMa c,0,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,1.240,,,0,0.87000,0.06000,-0.06000,0,Msin(i)/sin(i),0.566000,,,0,0.080000,0.050000,-0.040000,0,K1III(+M),4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,4.300,0.900,-1.300,0,19.8101000,0.1648000,-0.1648000
70 Vir b,0,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,1.130,,,0,7.49000,0.61000,-0.61000,0,Mass,6.540000,,,0,0.398800,0.001900,-0.001900,0,G5V,1.89,,,0,1.09,,,0,7.770,0.510,-0.510,0,17.9011000,0.0560000,-0.0557000
8 UMi b,0,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,1.220,,,0,1.31000,0.16000,-0.16000,0,Msini,0.910000,,,0,0.060000,0.090000,-0.090000,0,K0,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0,1.700,0.200,-0.200,0,162.5520000,0.6510000,-0.6460000
91 Aqr b,0,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,1.170,,,0,3.20000,,,0,Msini,2.490000,,,0,0.027000,0.026000,-0.026000,0,K0 III,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0,3.560,0.630,-0.630,0,44.0304000,0.5132500,-0.5132500
AF Lep b,0,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,1.170,,,0,3.20000,0.70000,-0.60000,0,Mass,2.490000,,,0,0.240000,0.270000,-0.150000,0,F8 V,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,0.024,0.003,-0.003,0,26.8564000,0.0189000,-0.0188000
AU Mic b,0,8.46299910,,,0,0.064500,0.001300,-0.001300,0,0.353,0.013,-0.013,0,0.06330,0.00494,-0.00541,0,Mass,1.320000,0.190000,-0.200000,0,0.186000,0.036000,-0.035000,0,M1,0.82,0.02,-0.02,0,0.50,0.03,-0.03,0,0.019,0.002,-0.002,0,9.7221000,0.0046250,-0.0046250
AU Mic c,0,18.85899100,,,0,0.110100,0.002000,-0.002000,0,0.289,0.014,-0.014,0,0.03020,0.00651,-0.00727,0,Mass,1.220000,0.260000,-0.290000,0,0.003380,0.001640,-0.001640,0,M1,0.82,0.02,-0.02,0,0.50,0.03,-0.03,0,0.019,0.002,-0.002,0,9.7221000,0.0046250,-0.0046250
BD+03 2562 b,0,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,1.130,,,0,6.40000,1.30000,-1.30000,0,Msini,5.460000,,,0,0.200000,0.120000,-0.080000,0,,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,5.200,4.750,-2.750,0,1070.6300000,63.8750000,-63.8750000
BD+15 2375 b,0,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,1.230,,,0,1.06100,0.27000,-0.27000,0,Msini,0.705000,,,0,0.001000,0.250000,-0.001000,0,G5,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,7.410,3.810,-2.520,0,768.0450000,45.0380000,-45.0380000
BD+15 2940 b,0,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,1.230,,,0,1.11000,,,0,Msini,0.754000,,,0,0.260000,0.100000,-0.100000,0,K0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,7.100,4.200,-4.200,0,426.4200000,6.4400000,-6.4400000
BD+20 594 b,0,41.68550000,0.00300000,-0.00300000,0,0.241000,0.019000,-0.017000,0,0.230,0.010,-0.010,0,0.07000,0.03000,-0.03000,0,Mass,7.890000,3.400000,-3.100000,0,0.000000,,,0,G,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,3.340,1.950,-1.490,0,179.4610000,1.2570000,-1.2400000
BD+49 828 b,0,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,1.210,,,0,1.60000,0.40000,-0.20000,0,Msini,1.140000,,,0,0.350000,0.240000,-0.100000,0,K0,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0,2.340,1.200,-0.800,0,442.0420000,7.6540000,-7.6540000
BD-06 1339 c,0,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,0.747,,,0,0.17000,0.03000,-0.03000,0,Msini,0.495000,,,0,0.310000,0.110000,-0.110000,0,K7/M0 V,0.69,0.06,-0.07,0,0.70,,,0,4.400,4.000,-4.000,0,20.2695000,0.0220000,-0.0218000
BD-08 2823 b,0,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,0.322,,,0,0.04000,0.01000,-0.01000,0,Msini,1.480000,,,0,0.150000,0.150000,-0.150000,0,K3 V,0.71,0.04,-0.04,0,0.50,0.26,-0.26,0,4.500,4.000,-4.000,0,41.3342000,0.0685000,-0.0682000
BD-08 2823 c,0,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,1.110,,,0,0.33000,0.03000,-0.03000,0,Msini,0.293000,,,0,0.190000,0.090000,-0.090000,0,K3 V,0.72,0.02,-0.02,0,0.74,0.07,-0.07,0,4.500,4.000,-4.000,0,41.3342000,0.0685000,-0.0682000
BD-10 3166 b,0,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,1.260,,,0,0.59000,0.07000,-0.07000,0,Msini,0.368000,,,0,0.020000,0.020000,-0.020000,0,K0 V,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0,1.000,2.000,-1.000,1,84.4069000,0.3537000,-0.3508000
BD-11 4672 b,0,1634.00000000,13.00000000,-14.00000000,0,2.360000,0.040000,-0.040000,0,1.250,,,0,0.65000,0.05000,-0.06000,0,Msini,0.405000,,,0,0.050000,0.050000,-0.030000,0,K7 V,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,7.400,4.500,-4.900,0,27.1665000,0.0346000,-0.0346000
BD-11 4672 c,0,74.20000000,0.06000000,-0.08000000,0,0.300000,0.010000,-0.010000,0,0.360,,,0,0.04836,0.00934,-0.00884,0,Msini,1.280000,,,0,0.400000,0.130000,-0.150000,0,K7V,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,7.400,4.500,-4.900,0,27.1665000,0.0346000,-0.0346000
BD-13 2130 b,0,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,1.110,,,0,9.78000,4.56000,-4.56000,0,Msini,8.750000,,,0,0.210000,0.070000,-0.070000,0,G5 IV/V,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0,0.740,0.200,-0.200,0,925.2140000,41.2110000,-41.2110000
BD-17 63 b,0,655.60000000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,1.150,,,0,5.10000,0.12000,-0.12000,0,Msini,4.250000,,,0,0.540000,0.005000,-0.005000,0,K5 V,0.69,,,0,0.74,0.03,-0.03,0,4.300,4.000,-4.000,0,34.4603000,0.0929000,-0.0924000
BD-210397 b,0,1891.00000000,56.00000000,-48.00000000,0,2.630000,0.060000,-0.050000,0,1.250,,,0,0.70000,0.10000,-0.10000,0,Msini,0.429000,,,0,0.100000,0.100000,-0.100000,0,K7 V,0.75,0.09,-0.09,0,0.68,0.02,-0.02,0,6.200,4.700,-4.700,0,23.7324000,0.0228000,-0.0227000
BD-210397 c,0,6240.00000000,151.00000000,-156.00000000,0,5.900000,0.100000,-0.100000,0,1.150,,,0,4.80000,0.60000,-0.60000,0,Mass,3.910000,,,0,0.430000,0.050000,-0.050000,0,K7 V,0.75,0.09,-0.09,0,0.69,0.01,-0.01,0,4.000,9.500,-2.800,0,23.7324000,0.0228000,-0.0227000
CD Cet b,0,2.29070000,0.00012000,-0.00012000,0,0.018500,0.001300,-0.001300,0,0.162,,,0,0.01243,0.00132,-0.00135,0,Msini,3.600000,,,0,,,,,M5.0 V,0.17,0.01,-0.01,0,0.16,0.01,-0.01,0,3.000,2.000,-2.000,0,8.6071500,0.0065800,-0.0065800
COCONUTS-2 b,0,402000000.00000000,470000000.00000000,-100000000.00000000,0,7506.000000,5205.000000,-2060.000000,0,1.110,0.030,-0.030,0,6.30000,1.50000,-1.90000,0,Mass,5.710000,,,0,,,,,M3 V,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,0.475,0.325,-0.325,0,10.8864000,0.0041000,-0.0042000
CoRoT-1 b,0,1.50895570,0.00000640,-0.00000640,0,0.027520,0.000220,-0.000230,0,1.490,0.080,-0.080,0,1.03000,0.12000,-0.12000,0,Mass,0.380000,0.050000,-0.050000,0,0.000000,,,0,G0 V,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,1.600,0.500,-0.500,0,787.9090000,23.4910000,-23.4910000
CoRoT-10 b,0,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,0.970,0.070,-0.070,0,2.75000,0.16000,-0.16000,0,Mass,3.700000,0.830000,-0.830000,0,0.530000,0.040000,-0.040000,0,K1 V,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,3.000,,,1,338.3860000,3.9865000,-3.9865000
CoRoT-11 b,0,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,1.430,0.030,-0.030,0,2.33000,0.34000,-0.34000,0,Mass,0.990000,0.150000,-0.150000,0,0.000000,,,0,F6 V,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,2.000,1.000,-1.000,0,655.0370000,24.9470000,-23.2090000
CoRoT-12 b,0,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,1.440,0.130,-0.130,0,0.91700,0.07000,-0.06500,0,Mass,0.411000,0.129000,-0.094000,0,0.070000,0.063000,-0.042000,0,,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0,6.300,3.100,-3.100,0,1126.3700000,55.7450000,-55.7450000
CoRoT-13 b,0,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,0.885,0.014,-0.014,0,1.30800,0.06600,-0.06600,0,Mass,2.340000,0.230000,-0.230000,0,0.000000,,,0,G0 V,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,1.635,1.515,-1.515,0,1148.9300000,62.1200000,-56.1500000
