# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug  8 06:11:11 2023
#
# User ID:         asafka7a
#
# User preference: first*
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radjstr not null
# CONSTRAINT:  and pl_bmassjstr not null
# CONSTRAINT:  and pl_densstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr < 100)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
YZ Cet b,0,2.02087000,0.00007000,-0.00009000,0,0.016340,0.000350,-0.000410,0,0.081,,,0,0.00220,0.00028,-0.00025,0,Msini,5.050000,,,0,0.060000,0.060000,-0.040000,0,M4.5 V,0.14,0.01,-0.01,0,3.800,0.500,-0.500,0,3.7120700,0.0010900,-0.0010900
YZ Cet c,0,3.05989000,0.00010000,-0.00010000,0,0.021560,0.000460,-0.000540,0,0.093,,,0,0.00359,0.00035,-0.00031,0,Msini,5.410000,,,0,0.000000,,,0,M4.5 V,0.14,0.01,-0.01,0,3.800,0.500,-0.500,0,3.7120700,0.0010900,-0.0010900
YZ Cet d,0,4.65626000,0.00028000,-0.00029000,0,0.028510,0.000610,-0.000710,0,0.092,,,0,0.00343,0.00038,-0.00038,0,Msini,5.480000,,,0,0.070000,0.040000,-0.050000,0,M4.5 V,0.14,0.01,-0.01,0,3.800,0.500,-0.500,0,3.7120700,0.0010900,-0.0010900
Teegarden's Star b,0,4.91000000,0.00140000,-0.00140000,0,0.025200,0.000800,-0.000900,0,0.091,,,0,0.00330,0.00041,-0.00038,0,Msini,5.440000,,,0,0.000000,0.160000,0.000000,0,M7.0 V,0.09,0.01,-0.01,0,8.000,,,-1,3.8307800,0.0039800,-0.0039700
Teegarden's Star c,0,11.40900000,0.00900000,-0.00900000,0,0.044300,0.001400,-0.001500,0,0.093,,,0,0.00349,0.00050,-0.00047,0,Msini,5.420000,,,0,0.000000,0.160000,0.000000,0,M7.0 V,0.09,0.01,-0.01,0,8.000,,,-1,3.8307800,0.0039800,-0.0039700
GJ 674 b,0,4.69380000,0.00700000,-0.00700000,0,0.039000,,,0,0.297,,,0,0.03500,,,0,Msini,1.650000,,,0,0.200000,0.020000,-0.020000,0,M2.5,0.35,,,0,0.550,0.450,-0.450,0,4.5489600,0.0010150,-0.0010150
GJ 876 b,0,61.11660000,0.00860000,-0.00860000,0,0.208317,0.000020,-0.000020,0,1.190,,,0,2.27560,0.00450,-0.00450,0,Mass,1.690000,,,0,0.032400,0.001300,-0.001300,0,M4 V,0.32,0.03,-0.03,0,1.000,,,-1,4.6751700,0.0016700,-0.0016700
GJ 876 c,0,30.08810000,0.00820000,-0.00820000,0,0.129590,0.000024,-0.000024,0,1.250,,,0,0.71420,0.00390,-0.00390,0,Mass,0.455000,,,0,0.255910,0.000930,-0.000930,0,M4 V,0.32,0.03,-0.03,0,1.000,,,-1,4.6751700,0.0016700,-0.0016700
GJ 876 d,0,1.93778000,0.00002000,-0.00002000,0,0.020807,0.000000,0.000000,0,0.224,,,0,0.02100,0.00100,-0.00100,0,Mass,2.370000,,,0,0.207000,0.055000,-0.055000,0,M4 V,0.32,0.03,-0.03,0,1.000,,,-1,4.6751700,0.0016700,-0.0016700
GJ 876 e,0,124.26000000,0.70000000,-0.70000000,0,0.334300,0.001300,-0.001300,0,0.350,,,0,0.04600,0.00500,-0.00500,0,Mass,1.330000,,,0,0.055000,0.012000,-0.012000,0,M2.5V,0.32,0.03,-0.03,0,1.000,,,-1,4.6751700,0.0016700,-0.0016700
GJ 832 b,0,3657.00000000,104.00000000,-104.00000000,0,3.560000,0.280000,-0.280000,0,1.240,,,0,0.80000,0.12000,-0.11000,0,Mass,0.520000,,,0,0.080000,0.020000,-0.060000,0,M1 V,0.45,0.05,-0.05,0,9.240,,,0,4.9643500,0.0010650,-0.0010650
GJ 411 b,0,12.93940000,0.00140000,-0.00130000,0,0.078790,0.000560,-0.000550,0,0.129,,,0,0.00846,0.00060,-0.00057,0,Msini,4.850000,,,0,0.063000,0.061000,-0.043000,0,M1.5 V,0.39,0.01,-0.01,0,8.047,3.958,-4.523,0,5.6757730,0.0059099,-0.0059099
HD 95735 c,0,2946.00000000,210.00000000,-180.00000000,0,2.940000,0.140000,-0.120000,0,0.335,,,0,0.04279,0.00755,-0.00724,0,Msini,1.410000,,,0,0.132000,0.160000,-0.091000,0,M1.5 V,0.39,0.01,-0.01,0,8.047,3.958,-4.523,0,5.6757730,0.0059099,-0.0059099
GJ 229 A c,0,121.93268000,0.06708000,-0.08158000,0,0.384000,0.005000,-0.005000,0,0.256,,,0,0.02700,0.00200,-0.00200,0,Msini,1.990000,,,0,0.366000,0.065000,-0.063000,0,M1.5V,0.51,0.02,-0.02,0,0.400,,,1,5.7562400,0.0015250,-0.0015250
GJ 229 b,0,579.47495000,1.67942000,-1.41414000,0,1.086000,0.015000,-0.015000,0,0.354,,,0,0.04700,0.00300,-0.00400,0,Msini,1.310000,,,0,0.404000,0.105000,-0.124000,0,M1/M2 V,0.51,0.02,-0.02,0,0.400,,,1,5.7562400,0.0015250,-0.0015250
HD 20794 b,0,18.31500000,0.00800000,-0.00800000,0,0.120700,0.002000,-0.002000,0,0.129,,,0,0.00850,0.00090,-0.00090,0,Msin(i)/sin(i),4.870000,,,0,0.000000,,,0,G8 V,0.70,,,0,5.760,0.660,-0.660,0,6.0027800,0.0085400,-0.0085100
HD 20794 c,0,40.11400000,0.05300000,-0.05300000,0,0.203600,0.003400,-0.003400,0,0.121,,,0,0.00760,0.00130,-0.00130,0,Msin(i)/sin(i),5.360000,,,0,0.000000,,,0,G8 V,0.70,,,0,5.760,0.660,-0.660,0,6.0027800,0.0085400,-0.0085100
HD 20794 d,0,90.30900000,0.18400000,-0.18400000,0,0.349900,0.005900,-0.005900,0,0.182,,,0,0.01500,0.00200,-0.00200,0,Msin(i)/sin(i),3.110000,,,0,0.000000,,,0,G8 V,0.70,,,0,5.760,0.660,-0.660,0,6.0027800,0.0085400,-0.0085100
HD 20794 e,0,147.02000000,1.43000000,-0.91000000,0,0.509000,0.006000,-0.006000,0,0.181,,,0,0.01501,0.00302,-0.00271,0,Msini,3.130000,,,0,0.290000,0.140000,-0.180000,0,G8,0.81,0.02,-0.01,0,5.760,0.660,-0.660,0,6.0027800,0.0085400,-0.0085100
GJ 581 b,0,5.36860000,0.00010000,-0.00010000,0,0.040610,0.000030,-0.000030,0,0.366,,,0,0.04970,0.00090,-0.00090,0,Msini,1.250000,,,0,0.000000,0.030000,-0.030000,0,M3 V,0.31,0.02,-0.02,0,4.300,,,0,6.2981000,0.0020950,-0.0020950
GJ 581 c,0,12.91400000,0.00200000,-0.00200000,0,0.072100,0.000300,-0.000300,0,0.197,,,0,0.01730,0.00090,-0.00090,0,Msini,2.800000,,,0,0.000000,0.060000,-0.060000,0,M3 V,0.31,0.02,-0.02,0,4.300,,,0,6.2981000,0.0020950,-0.0020950
GJ 581 e,0,3.14900000,0.00020000,-0.00020000,0,0.028150,0.000060,-0.000060,0,0.104,,,0,0.00530,0.00060,-0.00060,0,Msini,5.830000,,,0,0.000000,0.060000,-0.060000,0,M3 V,0.31,0.02,-0.02,0,4.300,,,0,6.2981000,0.0020950,-0.0020950
GJ 338 B b,0,24.42200000,0.01400000,-0.01400000,0,0.142000,0.005000,-0.005000,0,0.290,,,0,0.03335,0.00378,-0.00378,0,Msini,1.700000,,,0,0.109000,0.100000,-0.075000,0,M0 V,0.64,0.07,-0.07,0,4.000,3.000,-3.000,0,6.3325600,0.0016700,-0.0016800
HD 219134 b,0,3.09292600,0.00001000,-0.00001000,0,0.038760,0.000470,-0.000470,0,0.143,0.005,-0.005,0,0.01491,0.00060,-0.00060,0,Mass,6.340000,0.720000,-0.720000,0,0.000000,,,0,K3 V,0.81,0.03,-0.03,0,11.000,2.200,-2.200,0,6.5312700,0.0038400,-0.0038500
HD 219134 c,0,6.76458000,0.00033000,-0.00033000,0,0.065300,0.000800,-0.000800,0,0.135,0.004,-0.004,0,0.01372,0.00069,-0.00069,0,Mass,6.950000,0.770000,-0.770000,0,0.062000,0.039000,-0.039000,0,K3 V,0.81,0.03,-0.03,0,11.000,2.200,-2.200,0,6.5312700,0.0038400,-0.0038500
HD 219134 g,0,94.20000000,0.20000000,-0.20000000,0,0.375300,0.000400,-0.000400,0,0.293,,,0,0.03400,0.00400,-0.00400,0,Msini,1.680000,,,0,0.000000,,,0,K3 V,0.79,0.04,-0.02,0,12.460,,,0,6.5312700,0.0038400,-0.0038500
HD 219134 h,0,2247.00000000,43.00000000,-43.00000000,0,3.110000,0.040000,-0.040000,0,1.140,,,0,0.34000,0.02000,-0.02000,0,Msini,0.290000,,,0,0.060000,0.040000,-0.040000,0,K3 V,0.79,0.04,-0.02,0,12.460,,,0,6.5312700,0.0038400,-0.0038500
GJ 667 C b,0,7.20040000,0.00170000,-0.00170000,0,0.050500,0.004400,-0.005300,0,0.199,,,0,0.01800,0.00400,-0.00400,0,Msini,2.770000,,,0,0.130000,0.100000,-0.110000,0,M1.5 V,0.33,0.02,-0.02,0,2.000,,,-1,7.2439600,0.0048600,-0.0048500
GJ 667 C c,0,28.14000000,0.05300000,-0.06500000,0,0.125000,0.012000,-0.013000,0,0.158,,,0,0.01200,0.00500,-0.00400,0,Msini,3.770000,,,0,0.020000,0.150000,-0.020000,0,M1.5 V,0.33,0.02,-0.02,0,2.000,,,-1,7.2439600,0.0048600,-0.0048500
GJ 514 b,0,140.43000000,0.41000000,-0.41000000,0,0.422000,0.014000,-0.015000,0,0.190,,,0,0.01636,0.00283,-0.00283,0,Msini,2.960000,,,0,0.450000,0.150000,-0.140000,0,M0.5-1.0 V,0.51,0.05,-0.05,0,0.800,,,-1,7.6177800,0.0031750,-0.0031750
61 Vir b,0,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.188,,,0,0.01600,0.00200,-0.00200,0,Msini,2.980000,,,0,0.120000,0.110000,-0.110000,0,G5 V,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
61 Vir c,0,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.398,,,0,0.05700,0.00300,-0.00300,0,Msini,1.130000,,,0,0.140000,0.060000,-0.060000,0,G5 V,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
61 Vir d,0,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.456,,,0,0.07200,0.00800,-0.00800,0,Msini,0.943000,,,0,0.350000,0.090000,-0.090000,0,G5 V,0.94,0.03,-0.03,0,8.960,2.760,-3.080,0,8.5033200,0.0173700,-0.0173000
CD Cet b,0,2.29070000,0.00012000,-0.00012000,0,0.018500,0.001300,-0.001300,0,0.162,,,0,0.01243,0.00132,-0.00135,0,Msini,3.600000,,,0,,,,,M5.0 V,0.16,0.01,-0.01,0,3.000,2.000,-2.000,0,8.6071500,0.0065800,-0.0065800
HD 192310 b,0,74.72000000,0.10000000,-0.10000000,0,0.320000,0.005000,-0.005000,0,0.381,,,0,0.05320,0.00280,-0.00280,0,Msin(i)/sin(i),1.190000,,,0,0.130000,0.040000,-0.040000,0,K3V,0.80,,,0,7.810,0.900,-0.900,0,8.7968700,0.0092500,-0.0092400
HD 192310 c,0,525.80000000,9.20000000,-9.20000000,0,1.180000,0.025000,-0.025000,0,0.469,,,0,0.07600,0.01600,-0.01600,0,Msin(i)/sin(i),0.911000,,,0,0.320000,0.110000,-0.110000,0,K3V,0.80,,,0,7.810,0.900,-0.900,0,8.7968700,0.0092500,-0.0092400
GJ 849 b,0,1925.31000000,6.50000000,-6.50000000,0,2.320000,0.110000,-0.130000,0,1.240,,,0,0.89300,0.09400,-0.09700,0,Msini,0.581000,,,0,0.029000,0.019000,-0.019000,0,M3.5,0.50,0.01,-0.01,0,3.000,,,-1,8.8005800,0.0036150,-0.0036150
GJ 849 c,0,5990.00000000,110.00000000,-100.00000000,0,4.950000,0.250000,-0.280000,0,0.090,,,0,0.00311,0.00035,-0.00035,0,Msini,5.280000,,,0,0.092000,0.038000,-0.036000,0,M3.5,0.50,0.01,-0.01,0,3.000,,,-1,8.8005800,0.0036150,-0.0036150
HD 102365 b,0,122.10000000,0.30000000,-0.30000000,0,0.460000,0.040000,-0.040000,0,0.369,,,0,0.05000,0.00800,-0.00800,0,Msini,1.240000,,,0,0.340000,0.140000,-0.140000,0,G3/5V,0.85,,,0,9.000,3.000,-3.000,0,9.2894000,0.0142400,-0.0142000
HD 285968 b,0,8.78360000,0.00540000,-0.00540000,0,0.066000,,,0,0.253,,,0,0.02600,,,0,Msini,2.040000,,,0,0.000000,,,0,M2 V,0.50,,,0,3.620,,,0,9.4704500,0.0063250,-0.0063250
GJ 3512 b,0,203.69000000,0.09000000,-0.02000000,0,0.337000,0.001000,-0.001000,0,1.270,,,0,0.46000,0.02000,-0.01000,0,Msini,0.275000,,,0,0.440000,0.010000,-0.010000,0,M5.5 V,0.12,0.01,-0.01,0,5.500,2.500,-2.500,0,9.4863700,0.0085700,-0.0085600
GJ 3512 c,0,1599.60000000,1.10000000,-0.80000000,0,1.292000,0.003000,-0.003000,0,0.832,,,0,0.20000,0.01000,-0.01000,0,Msini,0.431000,,,0,0.018300,0.000100,-0.000100,0,M5.5 V,0.12,0.01,-0.01,0,5.500,2.500,-2.500,0,9.4863700,0.0085700,-0.0085600
AU Mic b,0,8.46299910,,,0,0.064500,0.001300,-0.001300,0,0.363,0.015,-0.015,0,0.06330,0.00494,-0.00541,0,Mass,1.320000,0.190000,-0.200000,0,0.186000,0.036000,-0.035000,0,M1,0.50,0.03,-0.03,0,0.022,0.003,-0.003,0,9.7221000,0.0046250,-0.0046250
AU Mic c,0,18.85899100,,,0,0.110100,0.002000,-0.002000,0,0.289,0.014,-0.014,0,0.03020,0.00651,-0.00727,0,Mass,1.220000,0.260000,-0.290000,0,0.041000,0.047000,-0.026000,0,M1,0.50,0.03,-0.03,0,0.022,0.003,-0.003,0,9.7221000,0.0046250,-0.0046250
GJ 436 b,0,2.64388312,0.00000057,-0.00000057,0,0.029100,0.001500,-0.001500,0,0.372,0.015,-0.015,0,0.07000,0.00700,-0.00700,0,Mass,1.800000,0.290000,-0.290000,0,0.138270,0.000180,-0.000180,0,M2.5 V,0.47,0.07,-0.07,0,6.000,4.000,-5.000,0,9.7532100,0.0089800,-0.0089600
HD 260655 b,0,2.76953000,0.00003000,-0.00003000,0,0.029330,0.000240,-0.000240,0,0.111,0.002,-0.002,0,0.00673,0.00107,-0.00107,0,Mass,6.200000,1.000000,-1.000000,0,0.039000,0.043000,-0.023000,0,M0 V,0.44,0.01,-0.01,0,5.000,3.000,-3.000,0,10.0055000,0.0050500,-0.0050500
HD 260655 c,0,5.70588000,0.00007000,-0.00007000,0,0.047490,0.000390,-0.000390,0,0.137,0.005,-0.004,0,0.00972,0.00151,-0.00151,0,Mass,4.700000,0.900000,-0.800000,0,0.038000,0.036000,-0.022000,0,M0 V,0.44,0.01,-0.01,0,5.000,3.000,-3.000,0,10.0055000,0.0050500,-0.0050500
WISEP J121756.91+162640.2 A b,0,,,,,8.000000,1.300000,-1.300000,0,0.934,0.029,-0.029,0,22.00000,2.00000,-2.00000,0,Mass,33.500000,,,0,,,,,T8.5,0.03,0.01,-0.01,0,6.000,2.000,-2.000,0,10.1000000,1.9000000,-1.4000000
L 363-38 b,0,8.78100000,0.00700000,-0.00700000,0,0.048000,0.006000,-0.006000,0,0.179,,,0,0.01469,0.00135,-0.00135,0,Msini,3.210000,,,0,,,,,,0.21,0.01,-0.01,0,8.070,4.120,-4.120,0,10.2295000,0.0086000,-0.0086000
HD 62509 b,0,589.64000000,0.81000000,-0.81000000,0,1.640000,0.270000,-0.270000,0,1.190,,,0,2.30000,0.45000,-0.45000,0,Msini,1.710000,,,0,0.020000,0.030000,-0.030000,0,K0IIIvar,2.00,0.10,0.00,0,0.980,0.130,-0.130,0,10.3400000,0.0900000,-0.0900000
GJ 649 b,0,600.10000000,1.70000000,-1.70000000,0,1.112000,0.035000,-0.037000,0,0.966,,,0,0.25800,0.02300,-0.02200,0,Msini,0.358000,,,0,0.083000,0.068000,-0.055000,0,M1.0,0.53,0.01,-0.01,0,0.440,,,1,10.3796000,0.0033500,-0.0033500
GJ 536 b,0,8.70760000,0.00220000,-0.00250000,0,0.066610,0.000011,-0.000013,0,0.194,,,0,0.01686,0.00217,-0.00195,0,Msini,2.880000,,,0,0.080000,0.090000,-0.060000,0,M1 V,0.52,0.05,-0.05,0,0.400,,,1,10.4092000,0.0095500,-0.0095500
L 98-59 b,0,2.25311360,0.00000120,-0.00000150,0,0.021910,0.000800,-0.000840,0,0.076,0.005,-0.004,0,0.00126,0.00050,-0.00047,0,Mass,3.600000,1.400000,-1.500000,0,0.103000,0.117000,-0.045000,0,M3 V,0.31,0.01,-0.01,0,0.800,,,-1,10.6194000,0.0032000,-0.0032000
